,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-2.254591,-2.958181,-3.034884,-3.067713,-2.610553,-3.116187,-3.061021,-2.043213,-2.766051,-3.104819
Cluster_0-CrossR-Replica_10,-2.11429,-2.918795,-3.039237,-3.09289,-2.46723,-3.09841,-3.132632,-1.595989,-2.853415,-3.104819
Cluster_0-CrossR-Replica_2,-2.220796,-3.068153,-3.049474,-3.133643,-2.476673,-3.025274,-3.102013,-1.18137,-2.8331,-3.104819
Cluster_0-CrossR-Replica_3,-2.370904,-2.986339,-3.078193,-3.078554,-2.5152,-3.092378,-3.117256,-1.835373,-2.982016,-3.104819
Cluster_0-CrossR-Replica_4,-2.379663,-3.012318,-2.989156,-3.057946,-2.58253,-3.084117,-3.079406,-1.86019,-2.99951,-3.104819
Cluster_0-CrossR-Replica_5,-1.661359,-3.066042,-3.060948,-3.071146,-2.723858,-3.050368,-3.098013,-1.664668,-2.818534,-3.104819
Cluster_0-CrossR-Replica_6,-2.114954,-3.012869,-3.100581,-3.058136,-2.623191,-3.104347,-3.097497,-1.883425,-2.763181,-3.104819
Cluster_0-CrossR-Replica_7,-2.18368,-3.058555,-3.087619,-3.13004,-2.653238,-3.05026,-3.107275,-1.557241,-2.817891,-3.104819
Cluster_0-CrossR-Replica_8,-2.255277,-3.101794,-3.026145,-3.067413,-2.652893,-3.060379,-3.093653,-1.18148,-2.778596,-3.104819
Cluster_0-CrossR-Replica_9,-2.196222,-3.025699,-3.080288,-3.048181,-2.482021,-3.117272,-3.060655,-2.041212,-2.805129,-3.104819
