,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-2.651837,-3.473595,-3.505235,-3.509843,-3.104227,-3.51739,-3.559337,-2.239771,-3.237643,-3.546993
Cluster_0-CrossR-Replica_10,-2.470733,-3.361833,-3.398409,-3.516692,-3.007526,-3.571926,-3.571224,-2.266153,-3.28682,-3.546993
Cluster_0-CrossR-Replica_2,-2.52578,-3.422254,-3.49211,-3.465421,-3.104738,-3.531498,-3.575251,-2.143954,-3.230582,-3.546993
Cluster_0-CrossR-Replica_3,-2.657138,-3.491378,-3.449311,-3.481655,-3.019117,-3.554392,-3.53929,-2.414213,-3.260143,-3.546993
Cluster_0-CrossR-Replica_4,-2.600763,-3.451063,-3.498625,-3.438871,-3.038772,-3.533997,-3.530222,-2.029191,-3.283304,-3.546993
Cluster_0-CrossR-Replica_5,-2.463397,-3.382903,-3.487417,-3.481126,-3.069248,-3.514838,-3.549556,-2.334152,-3.352888,-3.546993
Cluster_0-CrossR-Replica_6,-2.645376,-3.437289,-3.502576,-3.486596,-3.102604,-3.501775,-3.523494,-2.227209,-3.240077,-3.546993
Cluster_0-CrossR-Replica_7,-2.595438,-3.441441,-3.490867,-3.487226,-3.077476,-3.516516,-3.551153,-2.011905,-3.277475,-3.546993
Cluster_0-CrossR-Replica_8,-2.431292,-3.495581,-3.525342,-3.545872,-3.074447,-3.508594,-3.508881,-2.081337,-3.128899,-3.546993
Cluster_0-CrossR-Replica_9,-2.394208,-3.421702,-3.536228,-3.503738,-2.783233,-3.542747,-3.512969,-2.66365,-3.224366,-3.546993
