,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-2.446462,-2.52448,-2.522318,-2.532585,-2.542186,-2.542319,-2.536588,-2.562025,-2.515367,-2.532832
Cluster_0-CrossR-Replica_10,-2.472443,-2.553157,-2.54773,-2.544666,-2.553329,-2.510808,-2.532013,-2.24192,-2.539447,-2.532832
Cluster_0-CrossR-Replica_2,-2.472804,-2.533384,-2.539652,-2.545952,-2.50186,-2.533168,-2.553751,-2.410212,-2.515116,-2.532832
Cluster_0-CrossR-Replica_3,-2.496294,-2.515861,-2.503757,-2.527902,-2.468512,-2.531466,-2.53462,-2.410237,-2.545861,-2.532832
Cluster_0-CrossR-Replica_4,-2.584212,-2.530232,-2.512018,-2.535004,-2.586081,-2.53829,-2.536975,-2.388116,-2.550995,-2.532832
Cluster_0-CrossR-Replica_5,-2.446702,-2.519293,-2.535229,-2.529165,-2.530261,-2.512406,-2.536115,-2.392802,-2.517468,-2.532832
Cluster_0-CrossR-Replica_6,-2.506635,-2.525355,-2.504896,-2.513967,-2.500883,-2.5384,-2.533869,-2.444125,-2.510444,-2.532832
Cluster_0-CrossR-Replica_7,-2.466009,-2.531235,-2.553861,-2.527102,-2.537958,-2.541142,-2.52133,-2.45621,-2.564307,-2.532832
Cluster_0-CrossR-Replica_8,-2.512992,-2.555442,-2.529688,-2.529332,-2.541956,-2.530883,-2.53878,-2.291374,-2.522184,-2.532832
Cluster_0-CrossR-Replica_9,-2.5373,-2.499702,-2.507281,-2.534956,-2.541133,-2.520005,-2.532986,-2.470869,-2.542322,-2.532832
Cluster_1-CrossR-Replica_1,-2.464393,-2.481349,-2.493116,-2.516433,-2.441643,-2.520069,-2.516344,-2.392749,-2.562269,-2.515411
Cluster_1-CrossR-Replica_10,-2.506641,-2.528837,-2.486747,-2.52368,-2.521667,-2.503141,-2.497688,-2.464222,-2.482626,-2.515411
Cluster_1-CrossR-Replica_2,-2.494406,-2.505177,-2.499578,-2.519077,-2.498404,-2.509623,-2.508286,-2.401509,-2.508283,-2.515411
Cluster_1-CrossR-Replica_3,-2.487778,-2.483438,-2.503175,-2.493999,-2.461175,-2.52584,-2.529538,-2.455958,-2.519068,-2.515411
Cluster_1-CrossR-Replica_4,-2.467813,-2.508397,-2.502616,-2.516773,-2.457152,-2.496817,-2.509406,-2.53794,-2.50231,-2.515411
Cluster_1-CrossR-Replica_5,-2.521454,-2.503607,-2.502744,-2.519023,-2.497344,-2.525723,-2.523391,-2.460046,-2.508951,-2.515411
Cluster_1-CrossR-Replica_6,-2.546796,-2.52241,-2.510246,-2.501809,-2.503466,-2.528319,-2.531644,-2.479786,-2.534335,-2.515411
Cluster_1-CrossR-Replica_7,-2.326269,-2.490609,-2.522692,-2.522881,-2.526494,-2.501103,-2.504504,-2.360968,-2.487707,-2.515411
Cluster_1-CrossR-Replica_8,-2.439459,-2.490143,-2.500852,-2.500261,-2.495042,-2.518626,-2.509559,-2.487427,-2.502552,-2.515411
Cluster_1-CrossR-Replica_9,-2.517225,-2.51719,-2.527057,-2.500025,-2.534653,-2.527457,-2.525073,-2.193004,-2.510225,-2.515411
