,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-2.103486,-2.828369,-2.833884,-2.833225,-2.456425,-2.872096,-2.910949,-1.659414,-2.691698,-2.895869
Cluster_0-CrossR-Replica_10,-1.991802,-2.803941,-2.835492,-2.87139,-2.474598,-2.891267,-2.881034,-1.752244,-2.698843,-2.895869
Cluster_0-CrossR-Replica_2,-2.058433,-2.757701,-2.888748,-2.860572,-2.345139,-2.905348,-2.8974,-1.779824,-2.693283,-2.895869
Cluster_0-CrossR-Replica_3,-1.972796,-2.812596,-2.871788,-2.917323,-2.481417,-2.890997,-2.896401,-1.751694,-2.697812,-2.895869
Cluster_0-CrossR-Replica_4,-1.755062,-2.839514,-2.868353,-2.876472,-2.647009,-2.867033,-2.858674,-1.833651,-2.692839,-2.895869
Cluster_0-CrossR-Replica_5,-2.159329,-2.881262,-2.869553,-2.884654,-2.468324,-2.886869,-2.902543,-1.46725,-2.695895,-2.895869
Cluster_0-CrossR-Replica_6,-1.956705,-2.798253,-2.846466,-2.89768,-2.463677,-2.883515,-2.893071,-1.805039,-2.645296,-2.895869
Cluster_0-CrossR-Replica_7,-2.042672,-2.867879,-2.814376,-2.87106,-2.450337,-2.887391,-2.880814,-1.660699,-2.72042,-2.895869
Cluster_0-CrossR-Replica_8,-2.104075,-2.771377,-2.886173,-2.862059,-2.433158,-2.857922,-2.873646,-1.309085,-2.648972,-2.895869
Cluster_0-CrossR-Replica_9,-1.973758,-2.784747,-2.849998,-2.851478,-2.263697,-2.87106,-2.881186,-1.942939,-2.735148,-2.895869
Cluster_1-CrossR-Replica_1,-2.042287,-2.876087,-2.890207,-2.930997,-2.462734,-2.816924,-2.868348,0.063714,-2.556395,-2.890621
Cluster_1-CrossR-Replica_10,-2.131804,-2.857547,-2.854794,-2.861877,-2.462178,-2.826262,-2.868808,-1.83185,-2.682859,-2.890621
Cluster_1-CrossR-Replica_2,-2.145832,-2.941676,-2.911099,-2.905557,-2.38218,-2.869244,-2.882346,-0.896549,-2.573994,-2.890621
Cluster_1-CrossR-Replica_3,-2.367678,-2.779468,-2.856383,-2.959672,-2.272248,-2.859312,-2.796577,-1.509972,-2.807005,-2.890621
Cluster_1-CrossR-Replica_4,-2.180095,-2.658223,-2.878561,-2.916507,-2.55511,-2.898351,-2.862498,-1.099094,-2.565956,-2.890621
Cluster_1-CrossR-Replica_5,-2.058532,-2.78024,-2.91672,-2.907325,-2.601353,-2.863413,-2.899994,-1.857096,-2.55729,-2.890621
Cluster_1-CrossR-Replica_6,-2.23457,-2.799889,-2.841061,-2.982739,-2.290076,-2.896577,-2.835682,-2.164032,-2.645296,-2.890621
Cluster_1-CrossR-Replica_7,-1.784615,-2.864942,-2.925901,-2.944332,-1.932251,-2.911778,-2.948037,-1.418976,-2.772799,-2.890621
Cluster_1-CrossR-Replica_8,-2.159571,-2.778171,-2.825245,-2.854774,-2.566187,-2.884138,-2.924185,-1.417778,-2.672485,-2.890621
Cluster_1-CrossR-Replica_9,-2.299586,-2.850532,-2.848941,-2.747806,-2.470341,-2.889289,-2.897804,-1.900338,-2.806995,-2.890621
