,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-2.489779,-2.467704,-2.482608,-2.490166,-2.447086,-2.475215,-2.498628,-2.341547,-2.472381,-2.48712
Cluster_0-CrossR-Replica_10,-2.445156,-2.479404,-2.485713,-2.478149,-2.513771,-2.478479,-2.474401,-2.241094,-2.45804,-2.48712
Cluster_0-CrossR-Replica_2,-2.409024,-2.501832,-2.475437,-2.48637,-2.459297,-2.489094,-2.482719,-2.32702,-2.468045,-2.48712
Cluster_0-CrossR-Replica_3,-2.444881,-2.466151,-2.481561,-2.486768,-2.461331,-2.488759,-2.490855,-2.393197,-2.493237,-2.48712
Cluster_0-CrossR-Replica_4,-2.46633,-2.48162,-2.49321,-2.476243,-2.491644,-2.462805,-2.489011,-2.37089,-2.461588,-2.48712
Cluster_0-CrossR-Replica_5,-2.467833,-2.465059,-2.489054,-2.475146,-2.459241,-2.477636,-2.482607,-2.449219,-2.463453,-2.48712
Cluster_0-CrossR-Replica_6,-2.472198,-2.462452,-2.478533,-2.490248,-2.462261,-2.490044,-2.490865,-2.321788,-2.496864,-2.48712
Cluster_0-CrossR-Replica_7,-2.49639,-2.487041,-2.477396,-2.47519,-2.472502,-2.481575,-2.467442,-2.316902,-2.470783,-2.48712
Cluster_0-CrossR-Replica_8,-2.435463,-2.478099,-2.49233,-2.491039,-2.438754,-2.496883,-2.47854,-2.317076,-2.47024,-2.48712
Cluster_0-CrossR-Replica_9,-2.43557,-2.485301,-2.484889,-2.513302,-2.481052,-2.489553,-2.477434,-2.423621,-2.524716,-2.48712
