,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-2.022878,-2.836332,-2.808699,-2.903922,-2.590871,-2.817643,-2.893817,-1.148701,-2.701148,-2.965538
Cluster_0-CrossR-Replica_10,-1.975284,-2.822015,-2.947014,-2.927391,-2.177549,-2.92099,-2.949349,-0.978719,-2.643251,-2.965538
Cluster_0-CrossR-Replica_2,-1.895496,-2.700206,-2.919859,-2.882797,-2.388627,-2.968107,-2.863986,-0.316865,-2.633631,-2.965538
Cluster_0-CrossR-Replica_3,-2.210397,-2.90633,-2.885791,-2.903019,-2.366813,-2.894834,-2.922461,-1.55875,-2.761547,-2.965538
Cluster_0-CrossR-Replica_4,-2.09299,-2.8002,-2.925058,-2.925483,-2.446367,-2.966841,-2.910674,-2.043802,-2.6429,-2.965538
Cluster_0-CrossR-Replica_5,-1.814295,-2.828082,-2.868414,-2.859254,-2.19019,-2.960456,-2.940136,-0.743106,-2.69176,-2.965538
Cluster_0-CrossR-Replica_6,-1.876108,-2.806311,-2.951635,-2.910843,-2.414865,-2.904729,-2.906433,-1.387515,-2.628835,-2.965538
Cluster_0-CrossR-Replica_7,-1.930909,-2.792866,-2.923094,-2.931748,-2.612519,-2.966532,-2.937943,-1.914942,-2.526747,-2.965538
Cluster_0-CrossR-Replica_8,-2.123295,-2.848228,-2.97306,-2.896407,-2.504405,-2.860933,-2.971986,-1.480243,-2.650161,-2.965538
Cluster_0-CrossR-Replica_9,-1.519751,-2.800264,-2.98923,-2.958064,-2.447793,-2.958613,-2.946158,-1.619943,-2.664699,-2.965538
Cluster_1-CrossR-Replica_1,-1.656128,-2.860388,-2.885444,-2.89936,-2.456588,-2.928734,-2.936046,-1.561928,-2.79211,-2.942366
Cluster_1-CrossR-Replica_10,-1.715764,-2.823792,-2.794392,-2.936834,-2.435879,-2.873152,-2.948769,-1.753301,-2.553167,-2.942366
Cluster_1-CrossR-Replica_2,-2.096088,-2.772872,-2.873442,-2.934515,-2.304952,-2.906549,-2.916473,-1.9313,-2.454031,-2.942366
Cluster_1-CrossR-Replica_3,-1.852926,-2.870188,-2.859398,-2.873251,-2.501277,-2.920456,-2.920645,-1.434963,-2.462858,-2.942366
Cluster_1-CrossR-Replica_4,-1.39386,-2.766552,-2.881391,-2.89238,-2.439922,-2.940431,-2.864397,-1.630575,-2.746278,-2.942366
Cluster_1-CrossR-Replica_5,-2.024633,-2.797035,-2.868414,-2.940305,-2.200381,-2.856192,-2.916801,-1.489955,-2.60436,-2.942366
Cluster_1-CrossR-Replica_6,-1.76329,-2.819054,-2.898983,-2.854559,-2.345465,-2.922073,-2.886908,-1.77537,-2.632437,-2.942366
Cluster_1-CrossR-Replica_7,-2.093025,-2.779638,-2.898014,-2.862603,-2.158858,-2.949604,-2.927804,-1.436615,-2.758522,-2.942366
Cluster_1-CrossR-Replica_8,-1.853839,-2.933766,-2.850832,-2.904543,-2.25385,-2.819124,-2.925524,-1.436062,-2.639155,-2.942366
Cluster_1-CrossR-Replica_9,-1.914051,-2.869231,-2.841386,-2.915945,-2.390972,-2.893927,-2.980104,-1.51125,-2.511981,-2.942366
Cluster_2-CrossR-Replica_1,-2.022878,-2.825718,-2.744991,-2.72141,-2.383224,-2.853037,-2.842175,-1.218918,-2.605415,-2.853689
