,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-1.680691,-2.819633,-3.007414,-3.013163,-2.205528,-2.982513,-3.15312,-1.209199,-2.411248,-3.292811
Cluster_0-CrossR-Replica_10,-0.61414,-2.750694,-2.99109,-3.01135,-2.14226,-2.950898,-3.231265,-1.543358,-2.346685,-3.292811
Cluster_0-CrossR-Replica_2,-1.799043,-2.696412,-2.861451,-3.119556,-2.3415,-3.110063,-3.090937,-1.72138,-2.523267,-3.292811
Cluster_0-CrossR-Replica_3,-2.197632,-2.699038,-2.74336,-2.990647,-2.016991,-3.125078,-3.063148,-1.035676,-2.513373,-3.292811
Cluster_0-CrossR-Replica_4,-1.981347,-2.741031,-2.926416,-3.173744,-2.182028,-3.051126,-3.194025,-1.278929,-2.512527,-3.292811
Cluster_0-CrossR-Replica_5,-1.827832,-2.748004,-2.879336,-3.007216,-1.712651,-3.159346,-3.233355,-1.402909,-2.616531,-3.292811
Cluster_0-CrossR-Replica_6,-1.117064,-2.678354,-2.996977,-2.968856,-2.29795,-3.090177,-2.905462,-1.209013,-2.347271,-3.292811
Cluster_0-CrossR-Replica_7,-1.568366,-2.714392,-2.975361,-2.987447,-1.909527,-3.170935,-3.19244,-1.036465,-2.64083,-3.292811
Cluster_0-CrossR-Replica_8,-1.195451,-2.89051,-2.923825,-2.911234,-1.985791,-3.080021,-3.186696,-1.278302,-2.487118,-3.292811
Cluster_0-CrossR-Replica_9,-1.328867,-2.905745,-2.966158,-2.934998,-2.095995,-3.066803,-3.170255,-1.271969,-2.616459,-3.292811
Cluster_1-CrossR-Replica_1,-0.917048,-2.84953,-2.902877,-2.847875,-1.944878,-3.090113,-3.10833,-1.583952,-2.663616,-3.276219
Cluster_1-CrossR-Replica_10,-1.26909,-2.769153,-3.096753,-2.927848,-2.255556,-3.166392,-3.139365,-0.929539,-2.35565,-3.276219
Cluster_1-CrossR-Replica_2,-1.024461,-2.481372,-2.964324,-2.818524,-2.0533,-3.078977,-3.037312,-1.781046,-2.424229,-3.276219
Cluster_1-CrossR-Replica_3,-1.115427,-2.839964,-2.765271,-3.112025,-1.867167,-3.023449,-3.243816,-1.448904,-2.492931,-3.276219
Cluster_1-CrossR-Replica_4,-1.606595,-2.884277,-2.94534,-3.03616,-2.63292,-3.046661,-3.135268,-0.795484,-2.499279,-3.276219
Cluster_1-CrossR-Replica_5,-1.647624,-2.614975,-2.912681,-3.010785,-1.741738,-2.978838,-3.15979,-1.041554,-2.507838,-3.276219
Cluster_1-CrossR-Replica_6,-1.486111,-2.858375,-2.887841,-2.954781,-2.045859,-3.170984,-3.132862,-0.795785,-2.710978,-3.276219
Cluster_1-CrossR-Replica_7,-1.848564,-2.956115,-2.814224,-3.092672,-2.086149,-2.977609,-3.214778,-1.723648,-2.67115,-3.276219
Cluster_1-CrossR-Replica_8,-1.32848,-2.869378,-2.879645,-2.934287,-2.085382,-3.094049,-3.171183,999.0,-2.501484,-3.276219
Cluster_1-CrossR-Replica_9,-2.108845,-2.787436,-2.892584,-2.874602,-1.861165,-3.03506,-3.122631,999.0,-2.329722,-3.276219
