,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-2.389542,-2.430237,-2.44166,-2.437428,-2.432749,-2.43121,-2.436728,-2.367114,-2.471407,-2.437859
Cluster_0-CrossR-Replica_10,-2.33091,-2.421042,-2.448807,-2.422326,-2.451615,-2.446249,-2.419942,-2.310389,-2.452401,-2.437859
Cluster_0-CrossR-Replica_2,-2.394329,-2.41921,-2.440343,-2.423141,-2.426921,-2.427308,-2.432037,-2.350268,-2.425505,-2.437859
Cluster_0-CrossR-Replica_3,-2.454553,-2.441907,-2.411956,-2.416475,-2.425174,-2.441154,-2.445921,-2.227204,-2.429591,-2.437859
Cluster_0-CrossR-Replica_4,-2.394344,-2.415947,-2.443842,-2.428817,-2.384942,-2.428426,-2.439801,-2.379794,-2.457207,-2.437859
Cluster_0-CrossR-Replica_5,-2.408712,-2.441178,-2.414247,-2.435975,-2.341965,-2.448243,-2.429894,-2.174794,-2.410349,-2.437859
Cluster_0-CrossR-Replica_6,-2.456363,-2.44528,-2.43236,-2.43624,-2.429691,-2.431,-2.436442,-2.333224,-2.430553,-2.437859
Cluster_0-CrossR-Replica_7,-2.292008,-2.418553,-2.411736,-2.454273,-2.408763,-2.41907,-2.447269,-2.324044,-2.423165,-2.437859
Cluster_0-CrossR-Replica_8,-2.407424,-2.432348,-2.419614,-2.432141,-2.401938,-2.433256,-2.428886,-2.379909,-2.442944,-2.437859
Cluster_0-CrossR-Replica_9,-2.33958,-2.413288,-2.446048,-2.429001,-2.409146,-2.444751,-2.43001,-2.346194,-2.415454,-2.437859
