,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,0.147438,-1.456457,-1.451831,-1.550135,-1.142076,-1.560196,-1.676751,-1.155723,-1.338659,-1.548395
Cluster_0-CrossR-Replica_10,-1.009959,-1.457691,-1.63531,-1.482293,-1.325032,-1.442493,-1.551414,-1.078439,-1.694558,-1.548395
Cluster_0-CrossR-Replica_2,-1.504689,-1.311591,-1.452228,-1.353732,-1.275471,-1.55298,-1.490726,999.0,-1.427539,-1.548395
Cluster_0-CrossR-Replica_3,-0.918786,-1.533367,-1.685369,-1.509738,-1.046662,-1.559612,-1.604752,0.081879,-0.901325,-1.548395
Cluster_0-CrossR-Replica_4,-1.161099,-1.360328,-1.41326,-1.361795,-1.219768,-1.571943,-1.553015,-0.330642,-1.604172,-1.548395
Cluster_0-CrossR-Replica_5,-0.264031,-1.648652,-1.483488,-1.643684,-1.517587,-1.626043,-1.360623,-0.32959,-1.206067,-1.548395
Cluster_0-CrossR-Replica_6,-0.264312,-1.499475,-1.768284,-1.466276,-0.83327,-1.605483,-1.605237,-0.572334,-1.261455,-1.548395
Cluster_0-CrossR-Replica_7,-1.816508,-1.608277,-1.460952,-1.501944,-1.474435,-1.601281,-1.625211,0.081436,-1.599342,-1.548395
Cluster_0-CrossR-Replica_8,0.148458,-1.48493,-1.624632,-1.449563,-1.032367,-1.639631,-1.52356,-0.744663,-1.535404,-1.548395
Cluster_0-CrossR-Replica_9,-1.0106,-1.247308,-1.447992,-1.563452,-1.313345,-1.511069,-1.553822,-0.574186,-1.037721,-1.548395
Cluster_1-CrossR-Replica_1,-1.225273,-1.246967,-1.25429,-1.339607,-1.233974,-1.47668,-1.410357,-0.329268,-1.427141,-1.425385
Cluster_1-CrossR-Replica_10,-0.504832,-1.423615,-1.444758,-1.32533,-1.153527,-1.408418,-1.442721,0.081638,-1.135198,-1.425385
Cluster_1-CrossR-Replica_2,0.148221,-1.483096,-1.537539,-1.48813,-1.033748,-1.276717,-1.433174,-0.743439,-1.427539,-1.425385
Cluster_1-CrossR-Replica_3,-0.918786,-1.47164,-1.559998,-1.387167,-1.247254,-1.480562,-1.523849,999.0,-1.17528,-1.425385
Cluster_1-CrossR-Replica_4,-0.810683,-1.347225,-1.325431,-1.368532,-0.714642,-1.498853,-1.512119,999.0,-1.40663,-1.425385
Cluster_1-CrossR-Replica_5,-0.810288,-1.414932,-1.344982,-1.358427,-1.203951,-1.419847,-1.60688,0.083637,-1.384978,-1.425385
Cluster_1-CrossR-Replica_6,-0.810569,-1.434374,-1.257106,-1.471927,-1.362246,-1.503258,-1.450639,-0.572334,-1.602768,-1.425385
Cluster_1-CrossR-Replica_7,-0.506608,-1.303743,-1.405639,-1.485757,-1.232712,-1.415055,-1.465282,999.0,-1.462479,-1.425385
Cluster_1-CrossR-Replica_8,-0.811027,-1.369929,-1.397071,-1.40087,-1.382783,-1.293965,-1.273107,-0.331435,-1.138971,-1.425385
Cluster_1-CrossR-Replica_9,-0.505474,-1.422722,-1.31113,-1.378987,-1.14184,-1.485145,-1.445788,0.080764,-1.209226,-1.425385
Cluster_2-CrossR-Replica_1,-0.679016,-1.386239,-1.324506,-1.454116,-0.820747,-1.485578,-1.35772,-0.329268,-1.314322,-1.42123
Cluster_2-CrossR-Replica_10,-0.26311,-1.446547,-1.361823,-1.399525,-1.044834,-1.470227,-1.473697,0.081638,-1.227096,-1.42123
Cluster_2-CrossR-Replica_2,-1.224491,-1.438915,-1.275605,-1.44856,-1.090568,-1.364116,-1.373931,-0.743439,-1.31472,-1.42123
Cluster_2-CrossR-Replica_3,-1.223321,-1.571231,-1.375673,-1.332933,-1.288385,-1.439113,-1.366049,-0.877605,-1.262679,-1.42123
Cluster_2-CrossR-Replica_4,-0.919376,-1.410037,-1.276133,-1.361795,-1.019176,-1.430253,-1.420808,0.082585,-1.42755,-1.42123
Cluster_2-CrossR-Replica_5,0.149197,-1.533479,-1.371881,-1.422592,-0.984728,-1.363027,-1.445328,0.083637,-0.84966,-1.42123
Cluster_2-CrossR-Replica_6,-0.919262,-1.489107,-1.345955,-1.367717,-1.102726,-1.374502,-1.495939,-0.330612,-1.287955,-1.42123
Cluster_2-CrossR-Replica_7,-0.678113,-1.419491,-1.353767,-1.446187,-1.348461,-1.467342,-1.465282,-0.573514,-1.068179,-1.42123
Cluster_2-CrossR-Replica_8,-0.506492,-1.38248,-1.445435,-1.304728,-1.312565,-1.38933,-1.502393,-0.573158,-0.944967,-1.42123
Cluster_2-CrossR-Replica_9,-0.810009,-1.361207,-1.506201,-1.287088,-1.274869,-1.300243,-1.370117,-0.574186,-1.450949,-1.42123
