,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-0.68088,-1.530909,-1.335561,-1.289873,-1.352385,-1.450538,-1.321099,-0.572786,-1.291119,-1.332445
Cluster_0-CrossR-Replica_10,-0.677983,-1.413765,-1.3981,-1.181068,-1.156187,-1.209379,-1.402985,-0.575151,-1.200164,-1.332445
Cluster_0-CrossR-Replica_2,0.146931,-1.299211,-1.380823,-1.420094,-1.23688,-1.145106,-1.268351,999.0,-1.111436,-1.332445
Cluster_0-CrossR-Replica_3,0.147361,-0.92733,-1.02179,-1.395098,-1.204853,-1.231372,-1.236544,0.080184,-1.111106,-1.332445
Cluster_0-CrossR-Replica_4,-0.26607,-1.232706,-1.152449,-1.235287,-1.221847,-1.41692,-1.458155,-0.332371,-1.208348,-1.332445
Cluster_0-CrossR-Replica_5,-0.265097,-1.37986,-1.247001,-1.4119,-0.916666,-1.520768,-1.279074,-0.985699,-1.111675,-1.332445
Cluster_0-CrossR-Replica_6,999.0,-1.363274,-1.471511,-1.375873,-0.501717,-1.450806,-1.340011,-0.745359,-1.340164,-1.332445
Cluster_0-CrossR-Replica_7,-1.014127,-1.261581,-1.288534,-1.359976,-1.143313,-1.44562,-1.402076,0.079345,-1.336785,-1.332445
Cluster_0-CrossR-Replica_8,-0.508126,-1.319014,-1.30806,-1.298544,-0.730233,-1.17425,-1.393617,999.0,-1.070966,-1.332445
Cluster_0-CrossR-Replica_9,-0.506728,-1.108316,-1.457322,-1.387096,-1.035443,-1.421185,-1.384698,-1.080554,-1.295007,-1.332445
Cluster_1-CrossR-Replica_1,999.0,-1.424167,-1.084451,-1.304967,-0.318283,-1.182421,-1.275413,-0.331064,-0.950983,-1.276594
Cluster_1-CrossR-Replica_10,-0.677983,-1.389428,-1.040928,-1.361674,-0.984682,-1.429681,-1.076771,-0.879685,-1.137352,-1.276594
Cluster_1-CrossR-Replica_2,-0.266297,-1.15146,-1.266923,-1.181437,-1.036288,-1.121096,-1.194796,-0.878163,-1.111436,-1.276594
Cluster_1-CrossR-Replica_3,-0.812123,-1.298458,-1.435015,-1.123808,-0.915412,-1.364401,-1.348973,-0.574766,-1.449716,-1.276594
Cluster_1-CrossR-Replica_4,-0.679297,-1.248604,-1.28801,-1.144786,-0.608027,-1.144618,-1.324156,999.0,-0.995712,-1.276594
Cluster_1-CrossR-Replica_5,-0.920047,-1.169033,-1.247001,-1.346321,-1.158388,-1.224514,-1.241294,-0.330749,-1.291883,-1.276594
Cluster_1-CrossR-Replica_6,-0.508044,-1.350171,-1.203118,-1.071338,-0.634747,-1.225291,-1.280345,-0.332132,-1.236222,-1.276594
Cluster_1-CrossR-Replica_7,999.0,-1.143645,-1.152973,-1.214972,-1.09144,-1.210953,-1.207415,999.0,-0.946939,-1.276594
Cluster_1-CrossR-Replica_8,0.146824,-1.35922,-1.189515,-1.191358,-1.351107,-1.159156,-1.158339,999.0,-1.360407,-1.276594
Cluster_1-CrossR-Replica_9,-0.265005,-1.264727,-1.230505,-1.288682,-0.317681,-1.35892,-1.319933,999.0,-1.211686,-1.276594
Cluster_10-CrossR-Replica_1,-0.509375,-0.866105,-1.04027,-0.934854,-0.731511,-1.13654,-1.076929,0.082164,-1.110911,-1.053214
Cluster_10-CrossR-Replica_10,-0.264756,-1.000537,-0.941337,-0.920713,-0.914464,-1.030819,-1.030889,999.0,-0.895629,-1.053214
Cluster_10-CrossR-Replica_2,0.146931,-0.979956,-1.188811,-1.036831,-0.62306,-1.033266,-1.08248,0.081322,-0.381868,-1.053214
Cluster_10-CrossR-Replica_3,-0.679094,-0.953831,-1.197202,-0.988247,-1.105262,-1.189272,-0.877061,-0.333043,-1.23708,-1.053214
Cluster_10-CrossR-Replica_4,-0.507792,-1.107679,-0.959417,-0.97653,-0.474998,-1.013546,-1.151032,0.080857,-0.851941,-1.053214
Cluster_10-CrossR-Replica_5,-0.265097,-1.00352,-0.885648,-1.010965,-0.331933,-1.012856,-1.235699,-0.330749,-0.852155,-1.053214
Cluster_10-CrossR-Replica_6,-0.266321,-1.045637,-0.886778,-1.12413,-0.835338,-1.144705,-1.0692,999.0,-0.950319,-1.053214
Cluster_10-CrossR-Replica_7,-0.509001,-0.97214,-1.235741,-1.121631,-0.316858,-1.144232,-1.045668,0.079345,-1.03225,-1.053214
Cluster_10-CrossR-Replica_8,0.146824,-0.919492,-1.189515,-1.071726,-0.730233,-1.031832,-1.083296,0.081274,-0.947179,-1.053214
Cluster_10-CrossR-Replica_9,-0.811262,-1.200214,-1.051593,-0.810941,-0.622215,-1.077627,-1.060859,-0.746932,-1.078657,-1.053214
Cluster_11-CrossR-Replica_1,-0.509375,-1.022516,-0.842728,-0.934854,-0.489788,-1.13654,-1.14633,0.082164,-0.490037,-1.045424
Cluster_11-CrossR-Replica_10,-1.011604,-0.896595,-1.040928,-0.73967,-0.834858,-1.243455,-1.006553,0.079799,-1.441886,-1.045424
Cluster_11-CrossR-Replica_2,999.0,-0.900349,-0.798964,-0.906716,-1.23688,-1.160591,-1.124579,-0.331906,-0.381868,-1.045424
Cluster_11-CrossR-Replica_3,-0.679094,-0.953831,-1.095481,-0.587571,-0.088957,-1.151766,-0.971887,999.0,-1.036489,-1.045424
Cluster_11-CrossR-Replica_4,0.147158,-1.146154,-1.099419,-1.134932,-1.177666,-0.84529,-0.943924,0.080857,-0.582485,-1.045424
Cluster_11-CrossR-Replica_5,-0.265097,-0.899577,-1.190183,-1.034814,-0.503438,-1.059822,-0.934903,0.082479,-1.208562,-1.045424
Cluster_11-CrossR-Replica_6,-0.508044,-0.803914,-0.886778,-0.562521,-0.330212,-0.818877,-1.022722,999.0,-0.731096,-1.045424
Cluster_11-CrossR-Replica_7,-0.267279,-0.946767,-1.337027,-1.04634,-0.821984,-0.74649,-1.195493,0.079345,-1.203755,-1.045424
Cluster_11-CrossR-Replica_8,999.0,-0.506264,-1.010005,-1.217859,-0.62154,-1.203337,-1.241937,0.081274,-0.790768,-1.045424
Cluster_11-CrossR-Replica_9,-0.265005,-1.108316,-0.838958,-1.023577,-1.035443,-1.111703,-1.021878,999.0,-1.211686,-1.045424
Cluster_12-CrossR-Replica_1,-0.267653,-1.294053,-1.438011,-0.86116,-0.489788,-0.993491,-1.208483,999.0,-1.17722,-1.037526
Cluster_12-CrossR-Replica_10,-0.677983,-1.147706,-1.025444,-0.73967,999.0,-1.256558,-1.41978,999.0,0.172548,-1.037526
Cluster_12-CrossR-Replica_2,-0.508019,-0.458035,-1.084867,-0.562089,-0.823652,-0.805572,-0.865674,-1.34821,-1.23741,-1.037526
Cluster_12-CrossR-Replica_3,-0.265866,-0.699005,-1.458095,-1.461744,-0.502184,-0.714847,-0.944988,999.0,-1.488191,-1.037526
Cluster_12-CrossR-Replica_4,999.0,-1.022367,-0.580267,-0.963427,-0.716721,-0.882955,-1.163856,999.0,-0.662091,-1.037526
Cluster_12-CrossR-Replica_5,-1.281401,-1.326833,-0.547038,-1.010965,-0.503438,-0.961871,-0.502747,999.0,-0.662305,-1.037526
Cluster_12-CrossR-Replica_6,999.0,-1.127997,-1.279794,-0.949248,-0.501717,-1.26505,-1.208162,999.0,-0.489373,-1.037526
Cluster_12-CrossR-Replica_7,-0.267279,-1.291395,-1.14015,-0.998621,-0.821984,-0.681977,-1.060958,-0.333883,-1.586403,-1.037526
Cluster_12-CrossR-Replica_8,999.0,-1.443666,-1.390104,-1.163625,-0.48851,-1.1031,-1.022094,0.081274,-1.203995,-1.037526
Cluster_12-CrossR-Replica_9,999.0,-0.453366,-0.936909,-1.101691,0.337269,-0.730708,-1.3714,999.0,-0.95487,-1.037526
Cluster_13-CrossR-Replica_1,-1.383548,-0.6946,-0.642137,-0.90646,-0.318283,-0.818608,-1.05443,999.0,-0.381344,-1.029522
Cluster_13-CrossR-Replica_10,-1.332933,-1.10923,-0.775824,-0.920713,999.0,-1.040208,-0.945576,999.0,-0.943348,-1.029522
Cluster_13-CrossR-Replica_2,999.0,-0.774375,-1.287484,-1.025025,-0.973476,-1.152899,-0.737851,999.0,-1.208323,-1.029522
Cluster_13-CrossR-Replica_3,999.0,-0.699005,-0.91934,-1.103249,0.324271,-1.041522,-0.916817,999.0,-0.661737,-1.029522
Cluster_13-CrossR-Replica_4,999.0,-0.452728,-1.235217,-1.014195,-0.06177,-1.160104,-1.089658,999.0,-0.381893,-1.029522
Cluster_13-CrossR-Replica_5,999.0,-0.457263,-1.12737,-0.998672,-0.745161,-1.159413,-0.944142,999.0,-1.208562,-1.029522
Cluster_13-CrossR-Replica_6,999.0,-0.923546,-0.943598,-0.949248,-1.204386,-1.104134,-0.800809,-0.332132,-0.950319,-1.029522
Cluster_13-CrossR-Replica_7,-0.813536,-0.996476,-0.904872,-1.11144,-0.730085,-0.993286,-0.763921,999.0,-1.336785,-1.029522
Cluster_13-CrossR-Replica_8,999.0,-0.386632,-1.04139,-0.740859,-1.314965,-1.143671,-1.045786,-1.400131,-0.727956,-1.029522
Cluster_13-CrossR-Replica_9,0.148223,-1.023004,-0.162327,-1.069458,-1.092263,-0.790374,-1.362365,0.079523,-1.545307,-1.029522
Cluster_14-CrossR-Replica_1,0.145575,-0.949425,-1.04027,-0.90646,-0.489788,-0.96238,-0.963805,-0.744291,-0.794571,-1.013189
Cluster_14-CrossR-Replica_10,-0.506478,-0.950829,-0.864306,-0.948447,-0.634266,-1.040208,-0.945576,999.0,-0.786936,-1.013189
Cluster_14-CrossR-Replica_2,-0.921247,-0.928083,-0.843144,-1.036831,-0.62306,-0.918869,-0.943969,0.081322,-0.903789,-1.013189
Cluster_14-CrossR-Replica_3,-0.265866,-1.204131,-0.91934,-0.962323,-1.048441,-1.11174,-1.038199,999.0,-0.58213,-1.013189
Cluster_14-CrossR-Replica_4,-0.92102,-0.949277,-1.041212,-0.90793,-0.608027,-1.104047,-1.044925,999.0,-0.79512,-1.013189
Cluster_14-CrossR-Replica_5,-0.506819,-0.87049,-0.977548,-0.946799,-1.049695,-0.961871,-0.934903,-0.743976,-1.111675,-1.013189
Cluster_14-CrossR-Replica_6,-0.266321,-0.803914,-1.011804,-1.093019,-0.634747,-0.993759,-0.99805,0.081095,-0.902601,-1.013189
Cluster_14-CrossR-Replica_7,-0.267279,-0.920267,-0.776632,-0.973249,-0.90159,-0.894613,-1.021976,0.079345,-0.577892,-1.013189
Cluster_14-CrossR-Replica_8,0.146824,-1.041582,-0.993672,-1.093407,-0.317005,-1.127772,-0.980389,-0.331953,-0.847588,-1.013189
Cluster_14-CrossR-Replica_9,999.0,-0.975286,-1.160287,-1.035383,-0.075958,-0.951137,-0.866273,0.079523,-0.798459,-1.013189
Cluster_15-CrossR-Replica_1,0.145575,-0.866105,-0.775166,-0.86116,-0.318283,-0.993491,-1.05443,999.0,-0.661542,-1.013189
Cluster_15-CrossR-Replica_10,-0.677983,-1.046419,-1.05602,-1.036462,-0.834858,-1.021281,-0.963647,-0.575151,-0.724124,-1.013189
Cluster_15-CrossR-Replica_2,-0.266297,-0.900349,-1.070502,-0.876902,-0.62306,-1.023728,-1.06026,999.0,-1.036818,-1.013189
Cluster_15-CrossR-Replica_3,-0.679094,-1.026921,-1.081454,-0.861526,-0.743907,-1.103402,-0.887251,999.0,-0.951177,-1.013189
