,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-0.86134,-0.631314,-0.51847,-0.642661,-0.374834,-0.613648,-0.590773,-0.756517,-0.528159,-0.577051
Cluster_0-CrossR-Replica_10,-0.790879,-0.624488,-0.529789,-0.502259,-0.503837,-0.539006,-0.613784,0.070853,-0.663981,-0.577051
Cluster_0-CrossR-Replica_2,-0.206617,-0.592676,-0.507374,-0.576361,-0.755157,-0.583839,-0.652124,-0.23273,-0.644393,-0.577051
Cluster_0-CrossR-Replica_3,-0.510739,-0.400582,-0.51472,-0.476132,-0.566639,-0.565985,-0.623301,-1.030138,-0.46958,-0.577051
Cluster_0-CrossR-Replica_4,-0.619747,-0.673574,-0.524466,-0.677792,-0.260883,-0.484905,-0.5797,0.72461,-0.567504,-0.577051
Cluster_0-CrossR-Replica_5,-0.37811,-0.667848,-0.714965,-0.619767,-0.635967,-0.602023,-0.61893,-0.102076,-0.41336,-0.577051
Cluster_0-CrossR-Replica_6,-0.426436,-0.680756,-0.487385,-0.4023,-0.504189,-0.620927,-0.521263,-0.343228,-0.503778,-0.577051
Cluster_0-CrossR-Replica_7,-0.712041,-0.670347,-0.601237,-0.56071,-0.580233,-0.617552,-0.556206,-0.235254,-0.340949,-0.577051
Cluster_0-CrossR-Replica_8,0.276188,-0.666879,-0.532516,-0.525737,-0.374384,-0.540622,-0.545561,-0.928013,-0.55162,-0.577051
Cluster_0-CrossR-Replica_9,-0.13742,-0.475712,-0.555497,-0.633924,-0.452,-0.578046,-0.545251,-0.102521,-0.731249,-0.577051
Cluster_1-CrossR-Replica_1,-0.5494,-0.63473,-0.598768,-0.604185,-0.414593,-0.619326,-0.518542,-0.585012,-0.45085,-0.562901
Cluster_1-CrossR-Replica_10,-0.268959,-0.627944,-0.561592,-0.574855,-0.64997,-0.653327,-0.609005,-0.342374,-0.382499,-0.562901
Cluster_1-CrossR-Replica_2,-0.652078,-0.527012,-0.558776,-0.58761,-0.502495,-0.574783,-0.676148,-0.754651,-0.468456,-0.562901
Cluster_1-CrossR-Replica_3,-0.377709,-0.51514,-0.588025,-0.602853,-0.687625,-0.514393,-0.519971,-0.51446,-0.487115,-0.562901
Cluster_1-CrossR-Replica_4,-0.682559,-0.557826,-0.513375,-0.523614,-0.450733,-0.538985,-0.583461,-0.101845,-0.469283,-0.562901
Cluster_1-CrossR-Replica_5,-0.326238,-0.644852,-0.558554,-0.488493,-0.594836,-0.497387,-0.568555,-0.585521,-0.512199,-0.562901
Cluster_1-CrossR-Replica_6,-0.378718,-0.624567,-0.591678,-0.54589,-0.767593,-0.521464,-0.529544,-0.514733,-0.512116,-0.562901
Cluster_1-CrossR-Replica_7,-0.766275,-0.521895,-0.542967,-0.542971,-0.181371,-0.554897,-0.567883,-0.804893,-0.478379,-0.562901
Cluster_1-CrossR-Replica_8,-0.270069,-0.619965,-0.591795,-0.557861,-0.687085,-0.505788,-0.562652,-0.43518,-0.535931,-0.562901
Cluster_1-CrossR-Replica_9,-0.653098,-0.510282,-0.563257,-0.605781,-0.374969,-0.43124,-0.577694,-0.102521,-0.61098,-0.562901
Cluster_2-CrossR-Replica_1,-0.425613,-0.530788,-0.498736,-0.539363,-0.182409,-0.511197,-0.552462,-0.514794,-0.403132,-0.556357
Cluster_2-CrossR-Replica_10,-0.651607,-0.638193,-0.641198,-0.561414,-0.711484,-0.532508,-0.638263,-0.434273,-0.588936,-0.556357
Cluster_2-CrossR-Replica_2,-0.511152,-0.484714,-0.55357,-0.61306,-0.393802,-0.54035,-0.542315,-0.512928,-0.450389,-0.556357
Cluster_2-CrossR-Replica_3,-0.377709,-0.563179,-0.533909,-0.561592,-0.469752,-0.454195,-0.532377,-0.889212,-0.413649,-0.556357
Cluster_2-CrossR-Replica_4,-0.54953,-0.573113,-0.532651,-0.561701,-0.432388,-0.561185,-0.605544,-0.101845,-0.536528,-0.556357
Cluster_2-CrossR-Replica_5,-0.425829,-0.538833,-0.523867,-0.5079,-0.331433,-0.51447,-0.556903,-0.435698,-0.604097,-0.556357
Cluster_2-CrossR-Replica_6,-0.470617,-0.488932,-0.564061,-0.473925,-0.623821,-0.564811,-0.525418,-0.343228,-0.340611,-0.556357
Cluster_2-CrossR-Replica_7,-0.511449,-0.573082,-0.521286,-0.534915,-0.710347,-0.500588,-0.594272,-0.58567,-0.536791,-0.556357
Cluster_2-CrossR-Replica_8,-0.904809,-0.541851,-0.548557,-0.557861,-0.503288,-0.604721,-0.550872,-0.343281,-0.535931,-0.556357
Cluster_2-CrossR-Replica_9,-0.740497,-0.534954,-0.607804,-0.470948,-0.662826,-0.603229,-0.550562,-0.235551,-0.512026,-0.556357
Cluster_3-CrossR-Replica_1,-0.883021,-0.318731,-0.478328,-0.527154,0.322717,-0.536076,-0.497223,999.0,0.168498,-0.499801
Cluster_3-CrossR-Replica_10,-0.325779,-0.452983,-0.288067,-0.466921,-0.58137,-0.429343,-0.416751,0.725803,-0.081381,-0.499801
Cluster_3-CrossR-Replica_2,-0.425841,-0.466916,-0.346141,-0.60949,0.019425,-0.411335,-0.621251,-0.754651,-0.328715,-0.499801
Cluster_3-CrossR-Replica_3,-0.71133,-0.551527,-0.424675,-0.54185,-0.756489,-0.481505,-0.52827,-0.803901,-0.671441,-0.499801
Cluster_3-CrossR-Replica_4,-0.469923,-0.294422,-0.632243,-0.702831,-0.28522,-0.582588,-0.383369,-0.648102,-0.270469,-0.499801
Cluster_3-CrossR-Replica_5,-0.206605,-0.62441,-0.638484,-0.470696,-0.535171,-0.233598,-0.466745,-0.928531,-0.658331,-0.499801
Cluster_3-CrossR-Replica_6,-0.924975,0.03386,-0.360895,-0.567428,-0.92564,-0.460131,-0.491342,0.724949,-0.270394,-0.499801
Cluster_3-CrossR-Replica_7,-0.511449,-0.404087,-0.367903,-0.499406,-0.485905,-0.46326,-0.574274,-0.102225,-0.504116,-0.499801
Cluster_3-CrossR-Replica_8,-0.586409,-0.210214,-0.5819,-0.604827,-0.055985,-0.476017,-0.461173,999.0,0.095637,-0.499801
Cluster_3-CrossR-Replica_9,-0.963875,-0.506069,-0.520656,-0.409139,-0.090645,-0.325636,-0.440545,0.310706,-0.567339,-0.499801
Cluster_4-CrossR-Replica_1,-0.510924,-0.307041,-0.48716,-0.431475,-0.609665,-0.474526,-0.28376,999.0,-0.574637,-0.454729
Cluster_4-CrossR-Replica_10,-0.682186,-0.558587,-0.493307,-0.323563,-0.595736,-0.411605,-0.448984,999.0,-0.11451,-0.454729
Cluster_4-CrossR-Replica_2,-0.924379,-0.603548,-0.327333,-0.426537,-0.393802,-0.580836,-0.33823,-0.702778,-0.459491,-0.454729
Cluster_4-CrossR-Replica_3,-0.651664,-0.434938,-0.459291,-0.601038,-0.374924,-0.311777,-0.410163,-0.51446,-0.393775,-0.454729
Cluster_4-CrossR-Replica_4,1.10338,-0.096234,-0.364749,-0.389548,-0.450733,-0.556497,-0.516049,999.0,-0.257917,-0.454729
Cluster_4-CrossR-Replica_5,-0.206605,-0.424512,-0.512776,-0.23571,-0.74466,-0.555152,-0.244473,-0.890056,-0.131204,-0.454729
Cluster_4-CrossR-Replica_6,1.102687,-0.409947,-0.435512,-0.510993,-0.123194,-0.553872,-0.372035,999.0,-0.340611,-0.454729
Cluster_4-CrossR-Replica_7,999.0,-0.428624,-0.415895,-0.398836,-1.06206,-0.444629,-0.476413,-0.435846,-0.460582,-0.454729
Cluster_4-CrossR-Replica_8,-0.862208,-0.660399,-0.521577,-0.384398,0.018633,-0.399481,-0.416519,0.724897,-0.046494,-0.454729
Cluster_4-CrossR-Replica_9,-0.620865,-0.197291,-0.395168,-0.372997,-0.566684,-0.37442,-0.480509,999.0,-0.329377,-0.454729
Cluster_5-CrossR-Replica_1,0.277055,-0.218086,-0.435287,-0.271917,-0.153323,-0.465452,-0.507267,-0.804235,-0.114931,-0.454729
Cluster_5-CrossR-Replica_10,0.144269,-0.606901,-0.308141,-0.434182,-0.286451,-0.289969,-0.423339,-0.584097,-0.588936,-0.454729
Cluster_5-CrossR-Replica_2,-0.378122,-0.324785,-0.510193,-0.290458,-0.2354,-0.401247,-0.380115,-1.280697,-0.747541,-0.454729
Cluster_5-CrossR-Replica_3,-0.815273,-0.510956,-0.633084,-0.28796,-0.711475,-0.512707,-0.639477,0.311995,-0.737416,-0.454729
Cluster_5-CrossR-Replica_4,-0.136302,-0.550033,-0.250282,-0.284988,-0.580139,-0.498892,-0.52714,0.72461,-0.362367,-0.454729
Cluster_5-CrossR-Replica_5,-0.765965,-0.44359,-0.356925,-0.334269,-0.451065,-0.321243,-0.578724,-0.102076,-0.218603,-0.454729
Cluster_5-CrossR-Replica_6,0.447737,-0.592526,-0.543142,-0.436798,-0.395496,-0.492461,-0.58823,-0.435127,-0.29473,-0.454729
Cluster_5-CrossR-Replica_7,0.143501,-0.210468,-0.589045,-0.375454,-0.352876,-0.448402,-0.41659,0.311003,-0.176759,-0.454729
Cluster_5-CrossR-Replica_8,-0.79199,-0.794079,-0.532516,-0.544019,-0.374384,-0.484929,-0.413198,0.311669,-0.676857,-0.454729
Cluster_5-CrossR-Replica_9,-0.207638,-0.484544,-0.291226,-0.518666,-0.236778,-0.550168,-0.52352,999.0,0.009895,-0.454729
