,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-0.254112,-1.628836,-1.514934,-1.385084,999.0,-1.256945,-1.541351,0.090284,-0.816175,-1.355891
Cluster_0-CrossR-Replica_10,-0.207536,-0.576408,-1.335297,-1.374507,-1.577384,-1.391261,-1.295408,999.0,-0.632409,-1.355891
Cluster_0-CrossR-Replica_2,0.157609,-1.449019,-1.409478,-1.327188,-1.609302,-1.783649,-1.298548,-0.978344,-1.332026,-1.355891
Cluster_0-CrossR-Replica_3,999.0,-1.131594,-1.185348,-1.593123,-0.058661,-1.325828,-1.270487,-0.735696,-1.288008,-1.355891
Cluster_0-CrossR-Replica_4,-1.364864,-1.717629,-1.596006,-1.06357,-0.897719,-0.900728,-1.527433,0.089842,-1.294513,-1.355891
Cluster_0-CrossR-Replica_5,999.0,-1.169164,-1.487552,-1.455049,999.0,-1.533128,-1.398867,999.0,-1.504819,-1.355891
Cluster_0-CrossR-Replica_6,-0.497059,-1.631048,-1.528024,-1.497063,-0.057799,-1.192343,-1.56643,-0.750592,-1.364168,-1.355891
Cluster_0-CrossR-Replica_7,-1.456173,-1.233019,-1.185458,-1.009317,-1.697916,-1.404624,-1.028384,999.0,-0.636513,-1.355891
Cluster_0-CrossR-Replica_8,0.157869,-0.805042,-1.164847,-1.359644,-1.415338,-1.556696,-1.396123,999.0,-0.925891,-1.355891
Cluster_0-CrossR-Replica_9,999.0,-1.401928,-1.384886,-1.167279,-1.060738,-1.414261,-0.922326,-1.069351,-1.338653,-1.355891
Cluster_1-CrossR-Replica_1,-0.800369,-1.1493,-1.334726,-1.459344,-0.605176,-1.411482,-1.179472,999.0,-1.075695,-1.347125
Cluster_1-CrossR-Replica_10,0.205691,-1.402862,-1.289766,-1.444724,-1.347467,-1.340709,-1.453653,999.0,-1.591893,-1.347125
Cluster_1-CrossR-Replica_2,0.157609,-1.564767,-1.175446,-1.520074,-0.299401,-1.070876,-1.490973,-0.565116,-1.175614,-1.347125
Cluster_1-CrossR-Replica_3,-0.256498,-1.303099,-1.017579,-1.217298,-1.564402,-1.341869,-1.308961,-0.322468,-1.00781,-1.347125
Cluster_1-CrossR-Replica_4,999.0,-1.276668,-1.291471,-1.522097,-1.381164,-1.405854,-1.27923,0.089842,-1.364731,-1.347125
Cluster_1-CrossR-Replica_5,-0.910508,-1.556279,-1.445453,-1.361341,-1.126429,-1.149715,-1.340044,999.0,-1.07431,-1.347125
Cluster_1-CrossR-Replica_6,0.157891,-1.056684,-1.186424,-1.348681,-0.884254,-1.3871,-1.336691,-0.204335,-1.446527,-1.347125
Cluster_1-CrossR-Replica_7,-1.323144,-1.427023,-1.297887,-1.362275,-0.458234,-1.399873,-1.335893,-1.148488,-1.152191,-1.347125
Cluster_1-CrossR-Replica_8,-0.255359,-1.186037,-1.336353,-1.469393,-1.173615,-1.336655,-1.400136,-0.867845,-1.239528,-1.347125
Cluster_1-CrossR-Replica_9,-0.668273,-1.446108,-1.408578,-1.397196,-1.354334,-1.365766,-1.374304,0.090725,-0.969605,-1.347125
Cluster_2-CrossR-Replica_1,-0.495834,-1.289302,-1.416519,-1.366549,-1.018403,-1.320365,-1.294877,-0.322943,-1.394094,-1.347125
Cluster_2-CrossR-Replica_10,-0.620764,-1.316669,-1.326463,-1.416465,-1.347467,-1.366521,-1.34129,-0.444066,-1.439937,-1.347125
Cluster_2-CrossR-Replica_2,-0.497342,-1.217848,-1.230179,-1.233052,-1.125856,-1.312598,-1.279315,0.089834,-1.332026,-1.347125
Cluster_2-CrossR-Replica_3,-0.669726,-1.588356,-1.445528,-1.396805,-0.955333,-1.341869,-1.426898,999.0,-0.822908,-1.347125
Cluster_2-CrossR-Replica_4,-1.272965,-1.114551,-1.221255,-1.194504,-0.818113,-1.376768,-1.21206,999.0,-0.829413,-1.347125
Cluster_2-CrossR-Replica_5,999.0,-1.449362,-1.185273,-1.354965,-1.074556,-1.419831,-1.249614,-1.219358,-1.07431,-1.347125
Cluster_2-CrossR-Replica_6,-0.497059,-1.185587,-1.369071,-1.301502,-0.604056,-1.391966,-1.260888,-0.446058,-1.268578,-1.347125
Cluster_2-CrossR-Replica_7,-0.668194,-1.115082,-1.196601,-1.368584,-1.004491,-1.21062,-1.418828,999.0,-1.481313,-1.347125
Cluster_2-CrossR-Replica_8,-1.002208,-1.21827,-1.455188,-1.425619,-0.668489,-1.298179,-1.314209,-1.068437,-1.049678,-1.347125
Cluster_2-CrossR-Replica_9,0.158182,-1.130832,-1.508168,-1.307281,-1.060738,-1.29618,-1.414601,-0.977452,-1.211328,-1.347125
Cluster_3-CrossR-Replica_1,-1.759853,-1.379217,-1.368801,-1.121681,-1.127096,-1.699839,-1.492054,-0.564666,-1.001078,-1.261814
Cluster_3-CrossR-Replica_10,999.0,-0.736336,-1.127649,-1.132784,-1.13982,-0.791808,-1.208261,999.0,-1.178666,-1.261814
Cluster_3-CrossR-Replica_2,-1.415695,-1.427338,-0.249402,-1.192481,999.0,-1.009901,-1.307936,999.0,-1.455812,-1.261814
Cluster_3-CrossR-Replica_3,999.0,-1.074774,-1.126273,-1.166888,0.354567,-1.0895,-1.229357,999.0,-0.87478,-1.261814
Cluster_3-CrossR-Replica_4,999.0,-1.426492,-1.566918,-1.242868,999.0,-1.142451,-1.507777,999.0,-1.014315,-1.261814
Cluster_3-CrossR-Replica_5,999.0,-1.344913,-1.367921,-1.073484,999.0,-1.472859,-1.035509,999.0,-1.228018,-1.261814
Cluster_3-CrossR-Replica_6,999.0,-1.381429,-0.80602,-1.685994,999.0,-0.792513,-0.783723,999.0,-1.655305,-1.261814
Cluster_3-CrossR-Replica_7,999.0,-1.133427,-1.113833,-1.487645,-0.871461,-1.272776,-1.617757,999.0,-0.223286,-1.261814
Cluster_3-CrossR-Replica_8,999.0,-0.944315,-1.209861,-1.425619,0.399688,-1.510815,-1.506157,-1.389766,0.190005,-1.261814
Cluster_3-CrossR-Replica_9,999.0,-1.199039,-1.610274,-1.314173,-0.457661,-1.261101,-1.418486,-0.73573,-0.051252,-1.261814
