,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,999.0,-1.333062,-0.974311,-1.422773,-0.894323,-0.77254,-0.878336,999.0,-1.184769,-1.201933
Cluster_0-CrossR-Replica_10,999.0,-1.396574,-1.158768,-1.293344,-0.081319,-0.942893,-1.32131,999.0,-1.057812,-1.201933
Cluster_0-CrossR-Replica_2,999.0,-1.150701,-0.803758,-1.422398,-1.268098,-1.168867,-1.347119,-0.875782,0.18467,-1.201933
Cluster_0-CrossR-Replica_3,999.0,-1.200323,-1.297682,-0.718253,-0.964514,-1.077233,-0.732881,999.0,-1.71392,-1.201933
Cluster_0-CrossR-Replica_4,999.0,0.108248,-1.438228,-1.30762,-0.080576,-1.067445,-0.705589,999.0,999.0,-1.201933
Cluster_0-CrossR-Replica_5,-1.463052,-1.455737,-1.247636,-1.12359,-1.268466,-1.340035,-0.846922,999.0,-1.316237,-1.201933
Cluster_0-CrossR-Replica_6,-1.791171,-0.376118,-1.353652,-0.75742,-0.72209,-0.799723,-1.40487,999.0,-1.596157,-1.201933
Cluster_0-CrossR-Replica_7,-1.463006,-0.908815,-0.973543,-0.929681,-0.295491,-0.982527,-1.106096,999.0,-0.782464,-1.201933
Cluster_0-CrossR-Replica_8,0.151461,-0.547928,-1.364338,-0.926873,-1.298222,-0.985457,-1.282217,999.0,0.177353,-1.201933
Cluster_0-CrossR-Replica_9,999.0,-1.462889,-0.904023,-1.479182,-1.534921,-0.920184,-1.238825,999.0,-1.593237,-1.201933
Cluster_1-CrossR-Replica_1,-0.503273,-0.932937,-1.288698,-1.221,-0.481096,-1.050961,-1.092954,-0.983637,-1.087881,-1.127315
Cluster_1-CrossR-Replica_10,-0.213455,-0.933637,-1.052506,-1.051622,-0.977991,-1.170249,-1.201153,-0.449371,-1.057812,-1.127315
Cluster_1-CrossR-Replica_2,0.150649,-1.18578,-1.108292,-1.04912,-0.721841,-1.091335,-1.175614,-0.329525,-1.12523,-1.127315
Cluster_1-CrossR-Replica_3,-0.918095,-1.166248,-1.145104,-1.026621,-0.067841,-1.206847,-0.953078,999.0,-0.979363,-1.127315
Cluster_1-CrossR-Replica_4,-1.108199,-1.007648,-1.148787,-1.017281,-0.735526,-1.148131,-1.169583,999.0,-0.894224,-1.127315
Cluster_1-CrossR-Replica_5,-0.503568,-1.294974,-1.005915,-0.980706,-1.135436,-1.21245,-1.002527,-0.741995,-1.152629,-1.127315
Cluster_1-CrossR-Replica_6,999.0,-0.985186,-1.037309,-1.188445,-1.306822,-1.148631,-1.050327,0.203689,-1.227109,-1.127315
Cluster_1-CrossR-Replica_7,999.0,-1.073506,-0.956751,-1.051771,-0.708719,-1.243798,-1.157967,999.0,-1.224778,-1.127315
Cluster_1-CrossR-Replica_8,-0.808024,-1.132661,-1.207063,-1.12163,-1.090575,-1.033175,-1.261657,-0.569223,-0.71932,-1.127315
Cluster_1-CrossR-Replica_9,-1.008964,-0.786258,-1.145744,-1.204331,-0.599773,-1.057613,-1.193812,-0.32824,-0.569239,-1.127315
Cluster_10-CrossR-Replica_1,-0.503273,-0.716587,-0.652982,-0.324327,999.0,-1.220237,-1.092954,999.0,-0.053779,-0.960208
Cluster_10-CrossR-Replica_10,-0.213455,-0.933637,-0.681377,-0.915826,999.0,-0.727207,-1.093614,999.0,-1.12803,-0.960208
Cluster_10-CrossR-Replica_2,-0.262578,-1.265386,-0.941185,-0.95353,-0.963564,-0.992496,-0.79176,999.0,-0.47028,-0.960208
Cluster_10-CrossR-Replica_3,999.0,-0.878995,-0.731876,-0.540303,0.345386,-0.572107,-0.826589,999.0,-0.06101,-0.960208
Cluster_10-CrossR-Replica_4,-0.211526,-0.908057,-1.069181,-0.968588,-0.080576,-0.529766,-1.077686,999.0,0.587181,-0.960208
Cluster_10-CrossR-Replica_5,-1.0883,-0.226797,-0.731958,-0.955333,-0.613516,-1.092818,-0.867482,-0.875025,-0.052218,-0.960208
Cluster_10-CrossR-Replica_6,-0.503771,-1.335602,-0.974499,-1.254753,-0.308862,-0.196646,-0.848244,999.0,-1.331052,-0.960208
Cluster_10-CrossR-Replica_7,999.0,-0.639359,-0.973543,-1.017696,0.359459,-0.962316,-1.07122,0.085906,-0.064702,-0.960208
Cluster_10-CrossR-Replica_8,-0.503489,-0.496055,-0.804978,-0.613237,-0.769246,-1.042277,-1.171497,-1.395678,-0.06437,-0.960208
Cluster_10-CrossR-Replica_9,-0.675342,-1.147612,-0.452318,-1.160151,0.359711,-1.237821,-0.986165,0.084987,-1.164524,-0.960208
Cluster_11-CrossR-Replica_1,-0.674778,-0.786805,-0.45239,-0.979277,-0.814717,-1.023651,-0.781448,999.0,-1.268089,-0.933309
Cluster_11-CrossR-Replica_10,-0.868405,-1.148859,-0.653643,-1.171254,-0.828167,-0.910068,-1.019923,999.0,-0.231357,-0.933309
Cluster_11-CrossR-Replica_2,-0.917528,-1.093881,-0.708168,-1.060059,-0.81374,-0.797739,-0.886927,-0.571247,-1.366953,-0.933309
Cluster_11-CrossR-Replica_3,999.0,-1.09163,-0.956806,-1.091722,-0.067841,-0.551896,-0.868442,999.0,-0.645742,-0.933309
Cluster_11-CrossR-Replica_4,999.0,-0.934557,-1.083207,-1.040213,-0.493803,-0.921313,-1.00212,999.0,-0.941942,-0.933309
Cluster_11-CrossR-Replica_5,999.0,-0.822081,-0.756294,-1.016848,-1.083563,-0.887237,-1.056412,999.0,-0.878673,-0.933309
Cluster_11-CrossR-Replica_6,0.15118,-1.1507,-1.052033,-0.841526,-0.813989,-0.696425,-0.962144,-0.451261,-1.026518,-0.933309
Cluster_11-CrossR-Replica_7,-0.675026,-0.305738,-1.065442,-0.87286,-0.295491,-0.908572,-0.916247,999.0,-0.649434,-0.933309
Cluster_11-CrossR-Replica_8,-0.261767,-1.113733,-0.92461,-0.913168,-1.138293,-0.852427,-0.926725,0.085727,0.177353,-0.933309
Cluster_11-CrossR-Replica_9,0.151113,-0.786258,-1.215961,-0.699205,-0.708466,-0.874302,-0.780584,999.0,-0.477341,-0.933309
Cluster_12-CrossR-Replica_1,999.0,-0.878703,-0.922438,-0.855491,-0.614125,-0.839595,-0.745306,999.0,-0.358314,-0.92407
Cluster_12-CrossR-Replica_10,0.199773,-0.753429,-0.991305,-0.901798,-0.081319,-0.838443,-0.827123,0.205579,-0.714802,-0.92407
Cluster_12-CrossR-Replica_2,999.0,-1.00857,-1.007497,-0.913324,-1.226968,-0.849612,-0.942858,999.0,-0.641785,-0.92407
Cluster_12-CrossR-Replica_3,999.0,-1.07142,-0.939522,-1.049121,-0.614098,-0.713033,-0.888318,999.0,-0.645742,-0.92407
Cluster_12-CrossR-Replica_4,-0.211526,-0.718207,-0.943205,-0.915561,-0.827425,-0.932252,-0.791783,999.0,-0.986122,-0.92407
Cluster_12-CrossR-Replica_5,-0.261845,-0.755773,-0.680085,-0.968155,0.345969,-1.003673,-0.934322,-0.741995,-0.826801,-0.92407
Cluster_12-CrossR-Replica_6,-0.675275,-0.755269,-0.957706,-0.886826,-0.963813,-0.943494,-1.206738,0.203689,-0.651766,-0.92407
Cluster_12-CrossR-Replica_7,-0.503521,-0.960688,-0.679948,-0.739831,-0.466996,-0.88564,-0.877769,999.0,-0.569828,-0.92407
Cluster_12-CrossR-Replica_8,-0.261767,-0.595647,-0.992815,-1.03782,0.39083,-0.839876,-0.868988,-0.740728,-0.649102,-0.92407
Cluster_12-CrossR-Replica_9,999.0,-0.677564,-0.940161,-1.00374,-0.053516,-0.741273,-1.056382,-0.569963,-0.648846,-0.92407
Cluster_13-CrossR-Replica_1,-0.26155,-0.716587,-0.732588,-0.790978,-0.481096,-1.023651,-0.679728,-0.741914,-0.638512,-0.92407
