,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,999.0,-1.320237,-1.317793,-1.434791,999.0,-1.259468,-1.55309,0.084228,-1.318307,-1.386701
Cluster_0-CrossR-Replica_10,-1.282074,-0.753713,-1.501413,-1.401043,-1.77066,-1.590998,-1.277438,999.0,-0.060591,-1.386701
Cluster_0-CrossR-Replica_2,0.150387,-1.169208,-1.27005,-1.261127,-0.96407,-1.89271,-1.30054,-0.570827,-0.775122,-1.386701
Cluster_0-CrossR-Replica_3,0.150066,-1.183899,-1.34441,-1.55931,999.0,-1.3305,-1.240043,999.0,-0.061233,-1.386701
Cluster_0-CrossR-Replica_4,-0.211244,-1.545043,-1.482698,-1.214968,-0.735887,-1.219605,-1.501913,999.0,-1.65548,-1.386701
Cluster_0-CrossR-Replica_5,999.0,-1.573901,-1.564749,-1.442042,-0.613934,-1.750771,-1.451361,999.0,-1.266833,-1.386701
Cluster_0-CrossR-Replica_6,-0.917306,-1.599415,-1.672514,-1.094033,-0.814384,-0.994828,-1.485929,-0.209992,-1.13582,-1.386701
Cluster_0-CrossR-Replica_7,-1.008668,-1.398613,-0.974051,-1.215452,-1.6278,-1.381026,-0.916531,999.0,-0.89157,-1.386701
Cluster_0-CrossR-Replica_8,999.0,-0.548495,-1.160654,-1.360525,-1.694677,-1.637382,-1.421547,999.0,-0.891282,-1.386701
Cluster_0-CrossR-Replica_9,999.0,-1.247473,-1.472514,-1.060969,-1.483046,-1.448808,-1.338667,0.08497,-1.511654,-1.386701
