,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_0-CrossR-Replica_1,-0.379059,-0.618457,-0.53348,-0.562228,-0.623969,-0.647394,-0.596424,-0.235916,-0.652102,-0.579161
Cluster_0-CrossR-Replica_10,-0.583856,-0.558817,-0.549887,-0.603208,-0.552848,-0.569884,-0.571446,-0.210578,-0.618534,-0.579161
Cluster_0-CrossR-Replica_2,-0.327957,-0.47686,-0.597619,-0.651571,-0.433512,-0.61211,-0.587377,-0.706515,-0.73819,-0.579161
Cluster_0-CrossR-Replica_3,0.142315,-0.514775,-0.564585,-0.548364,-0.582509,-0.573365,-0.591148,-0.344859,-0.504595,-0.579161
Cluster_0-CrossR-Replica_4,-0.470273,-0.547288,-0.600363,-0.635561,-0.26407,-0.591119,-0.527221,-0.516013,-0.546809,-0.579161
Cluster_0-CrossR-Replica_5,-0.327837,-0.590569,-0.578064,-0.582579,-0.43527,-0.630926,-0.539281,-0.705245,-0.442813,-0.579161
Cluster_0-CrossR-Replica_6,-0.587596,-0.567879,-0.614519,-0.517547,-0.435134,-0.57741,-0.58032,-0.411531,-0.36412,-0.579161
Cluster_0-CrossR-Replica_7,-0.550756,-0.700898,-0.582783,-0.618089,-0.610585,-0.490219,-0.528599,-0.515604,-0.52951,-0.579161
Cluster_0-CrossR-Replica_8,-0.271612,-0.498797,-0.600053,-0.635171,-0.733978,-0.574748,-0.576199,-0.586276,-0.612216,-0.579161
Cluster_0-CrossR-Replica_9,-0.058716,-0.453298,-0.476373,-0.698581,-0.470079,-0.490911,-0.592671,-0.237071,-0.708425,-0.579161
